date,open,high,low,close,volume,average,barCount
2021-02-02 04:00:00,324.97,324.97,324.86,324.86,1327.0,324.938,4
2021-02-02 04:01:00,324.94,325.08,324.94,325.08,900.0,324.998,6
2021-02-02 04:02:00,325.03,325.2,324.98,325.2,1470.0,325.029,9
2021-02-02 04:03:00,325.16,325.16,325.16,325.16,100.0,325.16,1
2021-02-02 04:04:00,325.16,325.16,325.16,325.16,200.0,325.16,1
2021-02-02 04:05:00,324.92,324.98,324.88,324.98,1300.0,324.909,8
2021-02-02 04:06:00,324.94,325.05,324.94,325.05,1162.0,324.981,5
2021-02-02 04:07:00,325.15,325.15,325.14,325.15,700.0,325.147,3
2021-02-02 04:08:00,325.15,325.15,325.15,325.15,0.0,325.15,0
2021-02-02 04:09:00,325.33,325.33,325.28,325.29,2300.0,325.288,5
2021-02-02 04:10:00,325.31,325.34,325.31,325.34,200.0,325.325,2
2021-02-02 04:11:00,325.37,325.37,325.36,325.36,300.0,325.363,3
2021-02-02 04:12:00,325.36,325.42,325.36,325.42,800.0,325.375,3
2021-02-02 04:13:00,325.48,325.56,325.46,325.52,2224.0,325.511,7
2021-02-02 04:14:00,325.46,325.5,325.45,325.5,420.0,325.469,3
2021-02-02 04:15:00,325.39,325.39,325.39,325.39,900.0,325.39,2
2021-02-02 04:16:00,325.34,325.34,325.34,325.34,400.0,325.34,2
2021-02-02 04:17:00,325.39,325.44,325.39,325.4,1170.0,325.412,5
2021-02-02 04:18:00,325.41,325.41,325.31,325.32,895.0,325.366,4
2021-02-02 04:19:00,325.25,325.25,325.25,325.25,1100.0,325.25,3
2021-02-02 04:20:00,325.25,325.25,325.25,325.25,0.0,325.25,0
2021-02-02 04:21:00,325.26,325.26,325.19,325.19,1100.0,325.254,2
2021-02-02 04:22:00,325.24,325.4,325.24,325.4,1135.0,325.315,6
2021-02-02 04:23:00,325.4,325.4,325.4,325.4,100.0,325.4,1
2021-02-02 04:24:00,325.4,325.4,325.4,325.4,0.0,325.4,0
2021-02-02 04:25:00,325.4,325.4,325.4,325.4,0.0,325.4,0
2021-02-02 04:26:00,325.4,325.4,325.4,325.4,0.0,325.4,0
2021-02-02 04:27:00,325.41,325.44,325.41,325.44,725.0,325.419,3
2021-02-02 04:28:00,325.44,325.44,325.44,325.44,200.0,325.44,1
2021-02-02 04:29:00,325.44,325.44,325.44,325.44,0.0,325.44,0
2021-02-02 04:30:00,325.44,325.44,325.44,325.44,0.0,325.44,0
2021-02-02 04:31:00,325.44,325.44,325.44,325.44,0.0,325.44,0
2021-02-02 04:32:00,325.31,325.31,325.27,325.27,500.0,325.278,3
2021-02-02 04:33:00,325.27,325.27,325.27,325.27,0.0,325.27,0
2021-02-02 04:34:00,325.27,325.27,325.27,325.27,0.0,325.27,0
2021-02-02 04:35:00,325.27,325.27,325.27,325.27,0.0,325.27,0
2021-02-02 04:36:00,325.45,325.53,325.42,325.51,2900.0,325.459,12
2021-02-02 04:37:00,325.51,325.51,325.51,325.51,0.0,325.51,0
2021-02-02 04:38:00,325.51,325.71,325.51,325.71,800.0,325.629,3
2021-02-02 04:39:00,325.64,325.64,325.64,325.64,400.0,325.64,2
2021-02-02 04:40:00,325.64,325.64,325.64,325.64,0.0,325.64,0
2021-02-02 04:41:00,325.55,325.61,325.55,325.61,400.0,325.58,2
2021-02-02 04:42:00,325.81,325.89,325.72,325.72,2700.0,325.811,15
2021-02-02 04:43:00,325.72,325.73,325.72,325.73,400.0,325.723,3
2021-02-02 04:44:00,325.78,325.78,325.74,325.74,552.0,325.771,4
2021-02-02 04:45:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 04:46:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 04:47:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 04:48:00,325.73,325.73,325.73,325.73,100.0,325.73,1
2021-02-02 04:49:00,325.73,325.73,325.73,325.73,0.0,325.73,0
2021-02-02 04:50:00,325.73,325.73,325.73,325.73,0.0,325.73,0
2021-02-02 04:51:00,325.76,325.76,325.76,325.76,810.0,325.76,2
2021-02-02 04:52:00,325.76,325.76,325.76,325.76,0.0,325.76,0
2021-02-02 04:53:00,325.94,326.0,325.94,326.0,800.0,325.988,5
2021-02-02 04:54:00,325.87,325.87,325.87,325.87,200.0,325.87,2
2021-02-02 04:55:00,325.87,325.87,325.87,325.87,0.0,325.87,0
2021-02-02 04:56:00,325.8,325.86,325.8,325.86,1400.0,325.832,8
2021-02-02 04:57:00,325.8,325.8,325.78,325.78,400.0,325.785,3
2021-02-02 04:58:00,325.81,325.81,325.81,325.81,100.0,325.81,1
2021-02-02 04:59:00,325.79,325.79,325.75,325.75,600.0,325.757,2
2021-02-02 05:00:00,325.73,325.73,325.73,325.73,100.0,325.73,1
2021-02-02 05:01:00,325.75,325.75,325.74,325.74,400.0,325.745,2
2021-02-02 05:02:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 05:03:00,325.78,325.83,325.78,325.83,490.0,325.81,3
2021-02-02 05:04:00,325.81,325.81,325.81,325.81,300.0,325.81,2
2021-02-02 05:05:00,325.77,325.77,325.74,325.74,475.0,325.746,2
2021-02-02 05:06:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 05:07:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 05:08:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 05:09:00,325.77,325.88,325.77,325.85,661.0,325.832,6
2021-02-02 05:10:00,325.85,325.85,325.85,325.85,0.0,325.85,0
2021-02-02 05:11:00,325.76,325.76,325.76,325.76,499.0,325.76,1
2021-02-02 05:12:00,325.68,325.69,325.53,325.53,800.0,325.624,6
2021-02-02 05:13:00,325.59,325.65,325.59,325.65,900.0,325.632,5
2021-02-02 05:14:00,325.65,325.65,325.65,325.65,0.0,325.65,0
2021-02-02 05:15:00,325.55,325.55,325.54,325.54,500.0,325.542,2
2021-02-02 05:16:00,325.63,325.63,325.63,325.63,100.0,325.63,1
2021-02-02 05:17:00,325.6,325.6,325.6,325.6,100.0,325.6,1
2021-02-02 05:18:00,325.5,325.54,325.5,325.54,555.0,325.533,4
2021-02-02 05:19:00,325.55,325.55,325.51,325.51,1050.0,325.522,4
2021-02-02 05:20:00,325.54,325.54,325.54,325.54,135.0,325.54,1
2021-02-02 05:21:00,325.59,325.59,325.59,325.59,100.0,325.59,1
2021-02-02 05:22:00,325.59,325.59,325.59,325.59,0.0,325.59,0
2021-02-02 05:23:00,325.59,325.59,325.59,325.59,0.0,325.59,0
2021-02-02 05:24:00,325.59,325.59,325.59,325.59,0.0,325.59,0
2021-02-02 05:25:00,325.59,325.59,325.59,325.59,200.0,325.59,1
2021-02-02 05:26:00,325.59,325.59,325.59,325.59,0.0,325.59,0
2021-02-02 05:27:00,325.55,325.55,325.49,325.51,5974.0,325.506,12
2021-02-02 05:28:00,325.51,325.51,325.51,325.51,0.0,325.51,0
2021-02-02 05:29:00,325.51,325.52,325.51,325.52,850.0,325.516,3
2021-02-02 05:30:00,325.54,325.54,325.49,325.49,800.0,325.496,2
2021-02-02 05:31:00,325.58,325.58,325.56,325.56,1350.0,325.57,3
2021-02-02 05:32:00,325.53,325.53,325.53,325.53,250.0,325.53,1
2021-02-02 05:33:00,325.58,325.65,325.58,325.65,950.0,325.635,5
2021-02-02 05:34:00,325.67,325.67,325.67,325.67,399.0,325.67,2
2021-02-02 05:35:00,325.67,325.67,325.67,325.67,0.0,325.67,0
2021-02-02 05:36:00,325.72,325.78,325.71,325.78,1200.0,325.754,5
2021-02-02 05:37:00,325.76,325.84,325.75,325.84,600.0,325.77,4
2021-02-02 05:38:00,325.78,325.84,325.76,325.84,1400.0,325.787,7
2021-02-02 05:39:00,325.84,325.84,325.84,325.84,0.0,325.84,0
2021-02-02 05:40:00,325.84,325.84,325.84,325.84,0.0,325.84,0
2021-02-02 05:41:00,325.84,325.84,325.84,325.84,0.0,325.84,0
2021-02-02 05:42:00,325.82,325.82,325.82,325.82,100.0,325.82,1
2021-02-02 05:43:00,325.77,325.77,325.75,325.75,5000.0,325.76,12
2021-02-02 05:44:00,325.75,325.75,325.75,325.75,0.0,325.75,0
2021-02-02 05:45:00,325.75,325.75,325.75,325.75,1700.0,325.75,5
2021-02-02 05:46:00,325.71,325.71,325.71,325.71,296.0,325.71,1
2021-02-02 05:47:00,325.72,325.74,325.72,325.74,600.0,325.735,3
2021-02-02 05:48:00,325.74,325.74,325.74,325.74,0.0,325.74,0
2021-02-02 05:49:00,325.81,325.81,325.81,325.81,100.0,325.81,1
2021-02-02 05:50:00,325.81,325.81,325.81,325.81,0.0,325.81,0
2021-02-02 05:51:00,325.81,325.81,325.81,325.81,0.0,325.81,0
2021-02-02 05:52:00,325.8,325.8,325.69,325.69,500.0,325.746,5
2021-02-02 05:53:00,325.69,325.69,325.69,325.69,0.0,325.69,0
2021-02-02 05:54:00,325.69,325.69,325.69,325.69,0.0,325.69,0
2021-02-02 05:55:00,325.75,325.75,325.72,325.72,300.0,325.74,2
2021-02-02 05:56:00,325.72,325.72,325.72,325.72,0.0,325.72,0
2021-02-02 05:57:00,325.72,325.72,325.72,325.72,0.0,325.72,0
2021-02-02 05:58:00,325.67,325.67,325.67,325.67,168.0,325.67,1
2021-02-02 05:59:00,325.67,325.7,325.67,325.7,400.0,325.693,3
2021-02-02 06:00:00,325.68,325.68,325.61,325.61,200.0,325.645,2
2021-02-02 06:01:00,325.56,325.57,325.55,325.57,1500.0,325.565,6
2021-02-02 06:02:00,325.56,325.58,325.56,325.58,900.0,325.578,4
2021-02-02 06:03:00,325.55,325.59,325.55,325.59,2100.0,325.58,4
2021-02-02 06:04:00,325.61,325.61,325.55,325.55,390.0,325.581,2
2021-02-02 06:05:00,325.55,325.55,325.55,325.55,0.0,325.55,0
2021-02-02 06:06:00,325.55,325.55,325.55,325.55,0.0,325.55,0
2021-02-02 06:07:00,325.7,325.7,325.7,325.7,500.0,325.7,1
2021-02-02 06:08:00,325.62,325.65,325.62,325.65,2000.0,325.633,7
2021-02-02 06:09:00,325.65,325.65,325.65,325.65,0.0,325.65,0
2021-02-02 06:10:00,325.6,325.6,325.6,325.6,500.0,325.6,1
2021-02-02 06:11:00,325.6,325.6,325.6,325.6,0.0,325.6,0
2021-02-02 06:12:00,325.5,325.5,325.5,325.5,500.0,325.5,1
2021-02-02 06:13:00,325.54,325.55,325.54,325.55,650.0,325.544,2
