date,open,high,low,close,volume,average,barCount
2024-09-03,473.19,473.33,459.41,461.81,30985887.0,465.712,146049
2024-09-04,458.67,464.45,457.73,460.61,23315678.0,461.275,123832
2024-09-05,458.97,465.36,457.93,461.04,23765030.0,461.14,126604
2024-09-06,460.32,461.22,448.19,448.69,33703228.0,451.775,190899
2024-09-09,453.04,455.46,449.82,454.46,21910777.0,453.187,115916
2024-09-10,456.24,459.17,452.23,458.66,20416504.0,456.398,108813
2024-09-11,459.86,469.37,451.28,468.62,39121353.0,460.47,210847
2024-09-12,468.64,474.04,466.84,473.22,24855567.0,471.064,134442
2024-09-13,472.5,476.53,472.25,475.34,21397243.0,474.949,110184
2024-09-16,473.19,473.86,469.89,473.24,15541745.0,472.054,88820
2024-09-17,476.24,477.6,470.97,473.49,19336735.0,474.297,111892
2024-09-18,474.7,478.83,470.83,471.44,28682553.0,474.314,168023
2024-09-19,482.61,486.23,480.49,483.36,31999964.0,483.82,168554
2024-09-20,482.51,483.69,478.3,482.44,18483363.0,481.602,107722
2024-09-23,482.95,484.14,481.6,483.04,14688942.0,482.923,84925
2024-09-24,484.48,486.33,480.17,485.37,18548010.0,484.09,100837
2024-09-25,484.74,487.79,484.56,485.82,15682863.0,486.041,81285
2024-09-26,493.37,493.7,485.8,489.47,21014602.0,489.199,115463
2024-09-27,490.5,490.64,485.56,486.75,15179848.0,487.794,82109
2024-09-30,485.78,488.41,482.92,488.07,20132609.0,486.204,102896
