date,open,high,low,close,volume,average,barCount
2026-04-16 04:00:00,700.95,701.99,700.95,701.01,3237.0,701.135,35
2026-04-16 04:01:00,701.56,701.56,700.77,701.07,983.0,701.129,13
2026-04-16 04:02:00,701.04,701.65,700.75,701.03,33024.0,701.302,262
2026-04-16 04:03:00,700.95,700.96,700.9,700.9,385.0,700.92,3
2026-04-16 04:04:00,700.94,700.94,700.88,700.89,510.0,700.908,6
2026-04-16 04:05:00,700.77,700.77,700.67,700.72,303.0,700.73,3
2026-04-16 04:06:00,700.72,700.72,700.72,700.72,0.0,700.72,0
2026-04-16 04:07:00,700.82,701.42,700.7,700.7,2048.0,700.775,16
2026-04-16 04:08:00,700.65,700.66,700.57,700.65,604.0,700.608,8
2026-04-16 04:09:00,700.68,700.73,700.67,700.67,631.0,700.692,8
2026-04-16 04:10:00,700.7,700.75,700.59,700.75,2439.0,700.698,13
2026-04-16 04:11:00,700.76,700.9,700.74,700.82,1158.0,700.781,10
2026-04-16 04:12:00,700.82,700.86,700.82,700.86,109.0,700.845,2
2026-04-16 04:13:00,700.87,700.87,700.76,700.76,265.0,700.789,2
2026-04-16 04:14:00,700.75,700.76,700.51,700.54,1615.0,700.561,19
2026-04-16 04:15:00,700.55,700.6,700.54,700.6,211.0,700.579,4
2026-04-16 04:16:00,700.6,700.69,700.6,700.67,285.0,700.658,4
2026-04-16 04:17:00,700.57,700.57,700.51,700.52,662.0,700.536,8
2026-04-16 04:18:00,700.51,700.51,700.5,700.51,235.0,700.506,3
2026-04-16 04:19:00,700.57,700.57,700.52,700.52,469.0,700.537,7
2026-04-16 04:20:00,700.53,700.7,700.53,700.62,189.0,700.611,3
2026-04-16 04:21:00,700.59,700.61,700.59,700.61,151.0,700.601,2
2026-04-16 04:22:00,700.62,700.63,700.57,700.57,90.0,700.6,2
2026-04-16 04:23:00,700.6,700.6,700.55,700.55,800.0,700.555,8
2026-04-16 04:24:00,700.55,700.56,700.52,700.52,210.0,700.544,3
2026-04-16 04:25:00,700.42,700.44,700.4,700.4,692.0,700.413,9
2026-04-16 04:26:00,700.44,700.44,700.39,700.39,200.0,700.418,4
2026-04-16 04:27:00,700.37,700.38,700.37,700.38,375.0,700.378,2
2026-04-16 04:28:00,700.34,700.35,700.32,700.35,244.0,700.336,3
2026-04-16 04:29:00,700.35,700.35,700.35,700.35,0.0,700.35,0
2026-04-16 04:30:00,700.36,700.38,700.35,700.38,150.0,700.364,3
2026-04-16 04:31:00,700.37,700.37,700.27,700.32,25473.0,700.281,57
2026-04-16 04:32:00,700.3,700.3,700.3,700.3,40.0,700.3,1
2026-04-16 04:33:00,700.29,700.35,700.29,700.34,764.0,700.322,7
2026-04-16 04:34:00,700.24,700.24,700.19,700.19,15122.0,700.204,63
2026-04-16 04:35:00,700.19,700.22,700.15,700.15,464.0,700.186,4
2026-04-16 04:36:00,700.15,700.2,700.15,700.16,629.0,700.158,6
2026-04-16 04:37:00,700.17,700.17,700.17,700.17,80.0,700.17,1
2026-04-16 04:38:00,700.23,700.24,700.18,700.18,570.0,700.228,8
2026-04-16 04:39:00,700.26,700.28,700.24,700.28,509.0,700.264,4
2026-04-16 04:40:00,700.29,700.29,700.22,700.24,1877.0,700.243,9
2026-04-16 04:41:00,700.32,700.35,700.32,700.35,120.0,700.332,2
2026-04-16 04:42:00,700.37,700.38,700.37,700.38,580.0,700.379,5
2026-04-16 04:43:00,700.41,700.41,700.24,700.37,358.0,700.306,3
2026-04-16 04:44:00,700.47,700.55,700.46,700.55,569.0,700.509,7
2026-04-16 04:45:00,700.54,700.54,700.54,700.54,98.0,700.54,2
2026-04-16 04:46:00,700.56,700.56,700.53,700.55,550.0,700.549,5
2026-04-16 04:47:00,700.63,700.68,700.63,700.68,577.0,700.656,7
2026-04-16 04:48:00,700.69,700.7,700.64,700.64,327.0,700.675,5
2026-04-16 04:49:00,700.56,700.56,700.56,700.56,45.0,700.56,1
2026-04-16 04:50:00,700.61,700.61,700.61,700.61,189.0,700.61,3
2026-04-16 04:51:00,700.56,700.56,700.53,700.53,246.0,700.544,3
2026-04-16 04:52:00,700.53,700.53,700.53,700.53,0.0,700.53,0
2026-04-16 04:53:00,700.53,700.53,700.53,700.53,0.0,700.53,0
2026-04-16 04:54:00,700.61,700.61,700.61,700.61,40.0,700.61,1
2026-04-16 04:55:00,700.61,700.61,700.6,700.6,337.0,700.602,5
2026-04-16 04:56:00,700.64,700.72,700.64,700.72,111.0,700.669,2
2026-04-16 04:57:00,700.72,700.72,700.72,700.72,0.0,700.72,0
2026-04-16 04:58:00,700.71,700.72,700.71,700.72,270.0,700.717,3
2026-04-16 04:59:00,700.72,700.73,700.69,700.7,909.0,700.715,9
2026-04-16 05:00:00,700.63,700.63,700.63,700.63,200.0,700.63,1
2026-04-16 05:01:00,700.75,700.75,700.61,700.61,758.0,700.65,11
2026-04-16 05:02:00,700.7,700.8,700.7,700.8,609.0,700.742,5
2026-04-16 05:03:00,700.86,700.86,700.84,700.84,165.0,700.855,2
2026-04-16 05:04:00,700.84,700.84,700.84,700.84,0.0,700.84,0
2026-04-16 05:05:00,700.81,700.82,700.79,700.8,310.0,700.803,4
2026-04-16 05:06:00,700.72,700.72,700.72,700.72,64.0,700.72,1
2026-04-16 05:07:00,700.69,700.69,700.69,700.69,200.0,700.69,1
2026-04-16 05:08:00,700.75,700.85,700.75,700.84,475.0,700.795,7
2026-04-16 05:09:00,700.8,700.8,700.8,700.8,40.0,700.8,1
2026-04-16 05:10:00,700.85,700.85,700.85,700.85,61.0,700.85,1
2026-04-16 05:11:00,700.82,700.92,700.82,700.88,16661.0,700.899,65
2026-04-16 05:12:00,700.86,700.86,700.83,700.83,198.0,700.85,3
2026-04-16 05:13:00,700.89,700.93,700.89,700.93,109.0,700.906,2
2026-04-16 05:14:00,700.86,700.86,700.86,700.86,160.0,700.86,2
2026-04-16 05:15:00,700.82,700.86,700.82,700.86,500.0,700.85,4
2026-04-16 05:16:00,700.88,700.89,700.88,700.89,200.0,700.885,2
2026-04-16 05:17:00,700.81,700.81,700.81,700.81,40.0,700.81,1
