date,open,high,low,close,volume,average,barCount
2021-09-01,452.58,453.11,451.54,451.8,35849957.0,452.366,196575
2021-09-02,453.32,454.05,451.91,453.19,31381425.0,452.979,174390
2021-09-03,451.97,453.63,451.55,453.08,31191630.0,452.839,173027
2021-09-07,452.71,452.81,450.74,451.46,35654050.0,451.677,192200
2021-09-08,450.88,451.67,448.86,450.91,41607914.0,450.421,233284
2021-09-09,450.69,452.57,448.72,448.98,43515965.0,450.309,240653
2021-09-10,451.04,451.49,445.31,445.44,60920667.0,447.754,336113
2021-09-13,448.65,448.92,444.11,446.58,58813523.0,445.976,344249
2021-09-14,448.11,448.34,443.22,444.17,54648181.0,444.875,309362
2021-09-15,444.62,448.41,443.44,447.88,54630634.0,446.369,301079
2021-09-16,447.32,448.36,444.02,447.17,50863767.0,446.32,289372
2021-09-17,444.92,445.37,441.02,441.4,72282668.0,442.324,426034
2021-09-20,434.88,436.56,428.86,434.04,122066242.0,432.882,690598
2021-09-21,436.54,437.91,433.07,433.63,68393678.0,435.276,407921
2021-09-22,436.05,440.03,435.07,437.86,74675923.0,438.058,450079
2021-09-23,439.84,444.89,439.6,443.18,56596242.0,443.295,320680
2021-09-24,441.45,444.67,441.21,443.91,42095950.0,443.308,246721
2021-09-27,442.81,444.05,441.9,442.64,42038294.0,443.004,253920
2021-09-28,439.69,440.04,432.94,433.72,96296360.0,435.209,566248
2021-09-29,435.19,437.04,433.85,434.45,62208795.0,435.417,358637
2021-09-30,436.02,436.77,428.78,429.14,95806640.0,432.347,527078
