date,open,high,low,close,volume,average,barCount
2023-02-14 03:15:00,20.72,20.72,20.71,20.72,0.0,0.0,3
2023-02-14 03:16:00,20.73,20.75,20.73,20.73,0.0,0.0,3
2023-02-14 03:17:00,20.74,20.74,20.73,20.73,0.0,0.0,2
2023-02-14 03:18:00,20.72,20.73,20.72,20.73,0.0,0.0,2
2023-02-14 03:19:00,20.73,20.73,20.73,20.73,0.0,0.0,0
2023-02-14 03:20:00,20.74,20.74,20.73,20.73,0.0,0.0,2
2023-02-14 03:21:00,20.74,20.74,20.73,20.73,0.0,0.0,2
2023-02-14 03:22:00,20.73,20.73,20.73,20.73,0.0,0.0,0
2023-02-14 03:23:00,20.72,20.73,20.72,20.73,0.0,0.0,2
2023-02-14 03:24:00,20.72,20.72,20.72,20.72,0.0,0.0,1
2023-02-14 03:25:00,20.71,20.71,20.71,20.71,0.0,0.0,1
2023-02-14 03:26:00,20.72,20.72,20.72,20.72,0.0,0.0,1
2023-02-14 03:27:00,20.73,20.74,20.72,20.72,0.0,0.0,4
2023-02-14 03:28:00,20.71,20.71,20.71,20.71,0.0,0.0,1
2023-02-14 03:29:00,20.7,20.71,20.7,20.71,0.0,0.0,2
2023-02-14 03:30:00,20.7,20.7,20.69,20.7,0.0,0.0,3
2023-02-14 03:31:00,20.69,20.69,20.68,20.68,0.0,0.0,2
2023-02-14 03:32:00,20.67,20.67,20.67,20.67,0.0,0.0,1
2023-02-14 03:33:00,20.68,20.68,20.66,20.66,0.0,0.0,3
2023-02-14 03:34:00,20.68,20.68,20.67,20.67,0.0,0.0,2
2023-02-14 03:35:00,20.66,20.66,20.66,20.66,0.0,0.0,1
2023-02-14 03:36:00,20.65,20.65,20.65,20.65,0.0,0.0,1
2023-02-14 03:37:00,20.67,20.7,20.67,20.7,0.0,0.0,3
2023-02-14 03:38:00,20.69,20.7,20.69,20.7,0.0,0.0,2
2023-02-14 03:39:00,20.71,20.71,20.7,20.7,0.0,0.0,2
2023-02-14 03:40:00,20.71,20.72,20.7,20.72,0.0,0.0,3
2023-02-14 03:41:00,20.71,20.71,20.71,20.71,0.0,0.0,1
2023-02-14 03:42:00,20.72,20.72,20.72,20.72,0.0,0.0,1
2023-02-14 03:43:00,20.73,20.73,20.71,20.71,0.0,0.0,3
2023-02-14 03:44:00,20.71,20.71,20.71,20.71,0.0,0.0,0
2023-02-14 03:45:00,20.71,20.71,20.71,20.71,0.0,0.0,0
2023-02-14 03:46:00,20.71,20.71,20.71,20.71,0.0,0.0,0
2023-02-14 03:47:00,20.7,20.7,20.7,20.7,0.0,0.0,1
2023-02-14 03:48:00,20.69,20.69,20.69,20.69,0.0,0.0,1
2023-02-14 03:49:00,20.68,20.69,20.68,20.69,0.0,0.0,2
2023-02-14 03:50:00,20.68,20.69,20.68,20.69,0.0,0.0,2
2023-02-14 03:51:00,20.68,20.68,20.68,20.68,0.0,0.0,1
2023-02-14 03:52:00,20.67,20.67,20.67,20.67,0.0,0.0,1
2023-02-14 03:53:00,20.66,20.66,20.66,20.66,0.0,0.0,1
2023-02-14 03:54:00,20.67,20.67,20.67,20.67,0.0,0.0,1
2023-02-14 03:55:00,20.68,20.68,20.68,20.68,0.0,0.0,1
2023-02-14 03:56:00,20.67,20.67,20.67,20.67,0.0,0.0,1
2023-02-14 03:57:00,20.67,20.67,20.67,20.67,0.0,0.0,0
2023-02-14 03:58:00,20.66,20.66,20.64,20.65,0.0,0.0,4
2023-02-14 03:59:00,20.64,20.64,20.64,20.64,0.0,0.0,1
2023-02-14 04:00:00,20.65,20.65,20.63,20.63,0.0,0.0,2
2023-02-14 04:01:00,20.64,20.64,20.64,20.64,0.0,0.0,1
2023-02-14 04:02:00,20.63,20.64,20.6,20.6,0.0,0.0,4
2023-02-14 04:03:00,20.54,20.54,20.52,20.52,0.0,0.0,2
2023-02-14 04:04:00,20.5,20.5,20.47,20.48,0.0,0.0,4
2023-02-14 04:05:00,20.49,20.52,20.49,20.52,0.0,0.0,4
2023-02-14 04:06:00,20.53,20.55,20.53,20.55,0.0,0.0,2
2023-02-14 04:07:00,20.56,20.6,20.56,20.6,0.0,0.0,3
2023-02-14 04:08:00,20.61,20.61,20.6,20.6,0.0,0.0,2
2023-02-14 04:09:00,20.61,20.61,20.6,20.6,0.0,0.0,2
2023-02-14 04:10:00,20.61,20.62,20.61,20.61,0.0,0.0,3
2023-02-14 04:11:00,20.62,20.63,20.62,20.62,0.0,0.0,3
2023-02-14 04:12:00,20.63,20.63,20.62,20.62,0.0,0.0,2
2023-02-14 04:13:00,20.63,20.65,20.63,20.65,0.0,0.0,2
2023-02-14 04:14:00,20.64,20.65,20.64,20.65,0.0,0.0,2
2023-02-14 04:15:00,20.66,20.66,20.65,20.65,0.0,0.0,2
2023-02-14 04:16:00,20.64,20.64,20.63,20.63,0.0,0.0,2
2023-02-14 04:17:00,20.64,20.64,20.64,20.64,0.0,0.0,1
2023-02-14 04:18:00,20.65,20.65,20.65,20.65,0.0,0.0,1
2023-02-14 04:19:00,20.64,20.64,20.64,20.64,0.0,0.0,1
2023-02-14 04:20:00,20.66,20.66,20.65,20.65,0.0,0.0,2
2023-02-14 04:21:00,20.64,20.65,20.63,20.63,0.0,0.0,4
2023-02-14 04:22:00,20.65,20.65,20.65,20.65,0.0,0.0,1
2023-02-14 04:23:00,20.64,20.64,20.64,20.64,0.0,0.0,1
2023-02-14 04:24:00,20.63,20.63,20.63,20.63,0.0,0.0,1
2023-02-14 04:25:00,20.62,20.62,20.62,20.62,0.0,0.0,1
2023-02-14 04:26:00,20.61,20.61,20.61,20.61,0.0,0.0,1
2023-02-14 04:27:00,20.61,20.61,20.61,20.61,0.0,0.0,0
2023-02-14 04:28:00,20.62,20.62,20.61,20.61,0.0,0.0,2
2023-02-14 04:29:00,20.6,20.6,20.59,20.6,0.0,0.0,3
2023-02-14 04:30:00,20.59,20.6,20.59,20.6,0.0,0.0,4
2023-02-14 04:31:00,20.59,20.6,20.59,20.6,0.0,0.0,2
2023-02-14 04:32:00,20.61,20.61,20.61,20.61,0.0,0.0,1
2023-02-14 04:33:00,20.63,20.63,20.63,20.63,0.0,0.0,1
2023-02-14 04:34:00,20.62,20.63,20.61,20.61,0.0,0.0,4
2023-02-14 04:35:00,20.6,20.6,20.6,20.6,0.0,0.0,1
2023-02-14 04:36:00,20.59,20.6,20.59,20.6,0.0,0.0,2
2023-02-14 04:37:00,20.59,20.59,20.59,20.59,0.0,0.0,1
2023-02-14 04:38:00,20.6,20.6,20.59,20.59,0.0,0.0,2
2023-02-14 04:39:00,20.58,20.58,20.58,20.58,0.0,0.0,1
2023-02-14 04:40:00,20.57,20.57,20.57,20.57,0.0,0.0,1
2023-02-14 04:41:00,20.56,20.56,20.56,20.56,0.0,0.0,1
2023-02-14 04:42:00,20.55,20.55,20.53,20.53,0.0,0.0,3
2023-02-14 04:43:00,20.54,20.55,20.54,20.55,0.0,0.0,2
2023-02-14 04:44:00,20.56,20.56,20.55,20.56,0.0,0.0,3
2023-02-14 04:45:00,20.57,20.57,20.56,20.56,0.0,0.0,2
2023-02-14 04:46:00,20.57,20.57,20.56,20.56,0.0,0.0,2
2023-02-14 04:47:00,20.57,20.57,20.56,20.56,0.0,0.0,2
2023-02-14 04:48:00,20.57,20.58,20.57,20.58,0.0,0.0,2
2023-02-14 04:49:00,20.57,20.57,20.56,20.56,0.0,0.0,2
2023-02-14 04:50:00,20.55,20.55,20.54,20.54,0.0,0.0,2
2023-02-14 04:51:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 04:52:00,20.53,20.53,20.53,20.53,0.0,0.0,0
2023-02-14 04:53:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 04:54:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 04:55:00,20.51,20.51,20.51,20.51,0.0,0.0,0
2023-02-14 04:56:00,20.51,20.51,20.51,20.51,0.0,0.0,0
2023-02-14 04:57:00,20.5,20.5,20.5,20.5,0.0,0.0,1
2023-02-14 04:58:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 04:59:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:00:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 05:01:00,20.5,20.52,20.5,20.52,0.0,0.0,3
2023-02-14 05:02:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 05:03:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:04:00,20.53,20.53,20.52,20.53,0.0,0.0,3
2023-02-14 05:05:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:06:00,20.53,20.53,20.52,20.52,0.0,0.0,2
2023-02-14 05:07:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 05:08:00,20.5,20.5,20.5,20.5,0.0,0.0,1
2023-02-14 05:09:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 05:10:00,20.51,20.51,20.51,20.51,0.0,0.0,0
2023-02-14 05:11:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:12:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 05:13:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:14:00,20.52,20.52,20.52,20.52,0.0,0.0,0
2023-02-14 05:15:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 05:16:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:17:00,20.52,20.52,20.52,20.52,0.0,0.0,0
2023-02-14 05:18:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 05:19:00,20.52,20.52,20.51,20.51,0.0,0.0,2
2023-02-14 05:20:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 05:21:00,20.53,20.53,20.51,20.51,0.0,0.0,3
2023-02-14 05:22:00,20.5,20.5,20.5,20.5,0.0,0.0,1
2023-02-14 05:23:00,20.5,20.5,20.5,20.5,0.0,0.0,0
2023-02-14 05:24:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 05:25:00,20.5,20.52,20.5,20.52,0.0,0.0,3
2023-02-14 05:26:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 05:27:00,20.54,20.54,20.53,20.54,0.0,0.0,3
2023-02-14 05:28:00,20.53,20.53,20.53,20.53,0.0,0.0,1
2023-02-14 05:29:00,20.51,20.51,20.48,20.49,0.0,0.0,4
2023-02-14 05:30:00,20.49,20.49,20.49,20.49,0.0,0.0,0
2023-02-14 05:31:00,20.48,20.48,20.48,20.48,0.0,0.0,1
2023-02-14 05:32:00,20.47,20.48,20.47,20.48,0.0,0.0,2
2023-02-14 05:33:00,20.47,20.47,20.47,20.47,0.0,0.0,1
2023-02-14 05:34:00,20.46,20.47,20.46,20.47,0.0,0.0,2
2023-02-14 05:35:00,20.46,20.46,20.46,20.46,0.0,0.0,1
2023-02-14 05:36:00,20.47,20.47,20.46,20.46,0.0,0.0,2
2023-02-14 05:37:00,20.47,20.47,20.47,20.47,0.0,0.0,1
2023-02-14 05:38:00,20.48,20.48,20.46,20.46,0.0,0.0,2
2023-02-14 05:39:00,20.45,20.46,20.45,20.46,0.0,0.0,2
2023-02-14 05:40:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 05:41:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 05:42:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 05:43:00,20.45,20.45,20.45,20.45,0.0,0.0,1
2023-02-14 05:44:00,20.46,20.46,20.46,20.46,0.0,0.0,1
2023-02-14 05:45:00,20.47,20.47,20.47,20.47,0.0,0.0,1
2023-02-14 05:46:00,20.48,20.48,20.48,20.48,0.0,0.0,1
2023-02-14 05:47:00,20.46,20.47,20.46,20.47,0.0,0.0,2
2023-02-14 05:48:00,20.46,20.47,20.46,20.47,0.0,0.0,2
2023-02-14 05:49:00,20.47,20.47,20.47,20.47,0.0,0.0,0
2023-02-14 05:50:00,20.46,20.47,20.46,20.47,0.0,0.0,2
2023-02-14 05:51:00,20.47,20.47,20.47,20.47,0.0,0.0,0
2023-02-14 05:52:00,20.47,20.47,20.47,20.47,0.0,0.0,0
2023-02-14 05:53:00,20.48,20.48,20.48,20.48,0.0,0.0,1
2023-02-14 05:54:00,20.49,20.49,20.49,20.49,0.0,0.0,1
2023-02-14 05:55:00,20.49,20.49,20.49,20.49,0.0,0.0,0
2023-02-14 05:56:00,20.49,20.49,20.49,20.49,0.0,0.0,0
2023-02-14 05:57:00,20.49,20.49,20.49,20.49,0.0,0.0,0
2023-02-14 05:58:00,20.5,20.5,20.5,20.5,0.0,0.0,1
2023-02-14 05:59:00,20.49,20.49,20.49,20.49,0.0,0.0,1
2023-02-14 06:00:00,20.48,20.48,20.46,20.46,0.0,0.0,2
2023-02-14 06:01:00,20.47,20.47,20.42,20.42,0.0,0.0,3
2023-02-14 06:02:00,20.41,20.42,20.38,20.38,0.0,0.0,4
2023-02-14 06:03:00,20.4,20.4,20.39,20.39,0.0,0.0,2
2023-02-14 06:04:00,20.4,20.4,20.39,20.39,0.0,0.0,2
2023-02-14 06:05:00,20.4,20.4,20.39,20.4,0.0,0.0,3
2023-02-14 06:06:00,20.41,20.42,20.41,20.42,0.0,0.0,2
2023-02-14 06:07:00,20.43,20.43,20.42,20.42,0.0,0.0,2
2023-02-14 06:08:00,20.43,20.44,20.43,20.44,0.0,0.0,2
2023-02-14 06:09:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:10:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 06:11:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:12:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:13:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 06:14:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:15:00,20.45,20.45,20.43,20.43,0.0,0.0,2
2023-02-14 06:16:00,20.42,20.42,20.42,20.42,0.0,0.0,1
2023-02-14 06:17:00,20.41,20.42,20.41,20.41,0.0,0.0,3
2023-02-14 06:18:00,20.4,20.41,20.4,20.4,0.0,0.0,3
2023-02-14 06:19:00,20.41,20.41,20.4,20.4,0.0,0.0,4
2023-02-14 06:20:00,20.41,20.42,20.41,20.42,0.0,0.0,2
2023-02-14 06:21:00,20.43,20.43,20.43,20.43,0.0,0.0,1
2023-02-14 06:22:00,20.44,20.44,20.44,20.44,0.0,0.0,1
2023-02-14 06:23:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:24:00,20.43,20.44,20.43,20.44,0.0,0.0,2
2023-02-14 06:25:00,20.43,20.43,20.43,20.43,0.0,0.0,1
2023-02-14 06:26:00,20.44,20.44,20.44,20.44,0.0,0.0,1
2023-02-14 06:27:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:28:00,20.42,20.42,20.41,20.41,0.0,0.0,2
2023-02-14 06:29:00,20.42,20.42,20.42,20.42,0.0,0.0,1
2023-02-14 06:30:00,20.43,20.44,20.43,20.44,0.0,0.0,2
2023-02-14 06:31:00,20.43,20.43,20.43,20.43,0.0,0.0,1
2023-02-14 06:32:00,20.42,20.43,20.42,20.43,0.0,0.0,2
2023-02-14 06:33:00,20.42,20.44,20.42,20.43,0.0,0.0,3
2023-02-14 06:34:00,20.44,20.44,20.44,20.44,0.0,0.0,1
2023-02-14 06:35:00,20.45,20.45,20.45,20.45,0.0,0.0,1
2023-02-14 06:36:00,20.44,20.45,20.44,20.45,0.0,0.0,2
2023-02-14 06:37:00,20.46,20.47,20.46,20.46,0.0,0.0,3
2023-02-14 06:38:00,20.45,20.46,20.45,20.46,0.0,0.0,2
2023-02-14 06:39:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 06:40:00,20.45,20.45,20.45,20.45,0.0,0.0,1
2023-02-14 06:41:00,20.43,20.43,20.43,20.43,0.0,0.0,1
2023-02-14 06:42:00,20.44,20.44,20.44,20.44,0.0,0.0,1
2023-02-14 06:43:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 06:44:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:45:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 06:46:00,20.45,20.45,20.45,20.45,0.0,0.0,1
2023-02-14 06:47:00,20.45,20.45,20.45,20.45,0.0,0.0,0
2023-02-14 06:48:00,20.46,20.46,20.45,20.46,0.0,0.0,3
2023-02-14 06:49:00,20.47,20.47,20.46,20.47,0.0,0.0,3
2023-02-14 06:50:00,20.47,20.47,20.47,20.47,0.0,0.0,0
2023-02-14 06:51:00,20.47,20.47,20.47,20.47,0.0,0.0,0
2023-02-14 06:52:00,20.48,20.49,20.48,20.49,0.0,0.0,2
2023-02-14 06:53:00,20.5,20.5,20.5,20.5,0.0,0.0,1
2023-02-14 06:54:00,20.51,20.51,20.5,20.5,0.0,0.0,2
2023-02-14 06:55:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 06:56:00,20.52,20.52,20.51,20.51,0.0,0.0,2
2023-02-14 06:57:00,20.52,20.52,20.51,20.52,0.0,0.0,3
2023-02-14 06:58:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 06:59:00,20.51,20.51,20.51,20.51,0.0,0.0,0
2023-02-14 07:00:00,20.51,20.51,20.51,20.51,0.0,0.0,0
2023-02-14 07:01:00,20.52,20.52,20.52,20.52,0.0,0.0,1
2023-02-14 07:02:00,20.51,20.51,20.5,20.5,0.0,0.0,2
2023-02-14 07:03:00,20.5,20.5,20.5,20.5,0.0,0.0,0
2023-02-14 07:04:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 07:05:00,20.5,20.5,20.5,20.5,0.0,0.0,1
2023-02-14 07:06:00,20.49,20.49,20.49,20.49,0.0,0.0,1
2023-02-14 07:07:00,20.5,20.52,20.5,20.52,0.0,0.0,2
2023-02-14 07:08:00,20.54,20.54,20.53,20.53,0.0,0.0,2
2023-02-14 07:09:00,20.52,20.52,20.5,20.5,0.0,0.0,2
2023-02-14 07:10:00,20.51,20.51,20.51,20.51,0.0,0.0,1
2023-02-14 07:11:00,20.52,20.53,20.52,20.53,0.0,0.0,2
2023-02-14 07:12:00,20.54,20.54,20.54,20.54,0.0,0.0,1
2023-02-14 07:13:00,20.53,20.55,20.53,20.55,0.0,0.0,3
2023-02-14 07:14:00,20.54,20.54,20.53,20.54,0.0,0.0,3
2023-02-14 07:15:00,20.53,20.53,20.5,20.5,0.0,0.0,3
2023-02-14 07:16:00,20.49,20.49,20.49,20.49,0.0,0.0,1
2023-02-14 07:17:00,20.48,20.49,20.48,20.49,0.0,0.0,2
2023-02-14 07:18:00,20.48,20.49,20.48,20.48,0.0,0.0,3
2023-02-14 07:19:00,20.47,20.47,20.47,20.47,0.0,0.0,1
2023-02-14 07:20:00,20.44,20.44,20.44,20.44,0.0,0.0,1
2023-02-14 07:21:00,20.45,20.45,20.44,20.44,0.0,0.0,2
2023-02-14 07:22:00,20.44,20.44,20.44,20.44,0.0,0.0,0
2023-02-14 07:23:00,20.43,20.44,20.43,20.44,0.0,0.0,2
2023-02-14 07:24:00,20.43,20.43,20.43,20.43,0.0,0.0,1
2023-02-14 07:25:00,20.43,20.43,20.43,20.43,0.0,0.0,0
2023-02-14 07:26:00,20.42,20.42,20.39,20.39,0.0,0.0,2
2023-02-14 07:27:00,20.38,20.39,20.38,20.39,0.0,0.0,2
2023-02-14 07:28:00,20.4,20.4,20.39,20.39,0.0,0.0,2
2023-02-14 07:29:00,20.4,20.41,20.4,20.41,0.0,0.0,2
2023-02-14 07:30:00,20.42,20.43,20.42,20.43,0.0,0.0,2
2023-02-14 07:31:00,20.43,20.43,20.43,20.43,0.0,0.0,0
2023-02-14 07:32:00,20.43,20.43,20.43,20.43,0.0,0.0,0
2023-02-14 07:33:00,20.44,20.44,20.43,20.43,0.0,0.0,2
2023-02-14 07:34:00,20.43,20.43,20.43,20.43,0.0,0.0,0
2023-02-14 07:35:00,20.42,20.43,20.42,20.43,0.0,0.0,2
2023-02-14 07:36:00,20.43,20.43,20.43,20.43,0.0,0.0,0
2023-02-14 07:37:00,20.44,20.44,20.43,20.43,0.0,0.0,2
2023-02-14 07:38:00,20.44,20.45,20.44,20.45,0.0,0.0,2
2023-02-14 07:39:00,20.46,20.48,20.46,20.48,0.0,0.0,3
2023-02-14 07:40:00,20.49,20.49,20.49,20.49,0.0,0.0,1
2023-02-14 07:41:00,20.5,20.5,20.49,20.49,0.0,0.0,2
