date,open,high,low,close,volume,average,barCount
2024-02-01,14.21,14.63,13.87,13.88,0.0,0.0,1235
2024-02-02,13.95,14.23,13.39,13.85,0.0,0.0,1055
2024-02-05,14.37,14.53,13.58,13.67,0.0,0.0,1062
2024-02-06,13.57,13.78,12.98,13.06,0.0,0.0,934
2024-02-07,13.06,13.13,12.81,12.83,0.0,0.0,1064
2024-02-08,12.95,13.17,12.74,12.79,0.0,0.0,956
2024-02-09,12.79,13.01,12.69,12.93,0.0,0.0,805
2024-02-12,13.48,13.94,13.34,13.93,0.0,0.0,855
2024-02-13,13.96,17.94,13.43,15.85,0.0,0.0,1528
2024-02-14,15.38,15.47,14.22,14.38,0.0,0.0,1609
2024-02-15,14.27,14.64,13.94,14.01,0.0,0.0,1173
2024-02-16,13.94,14.71,13.75,14.71,0.0,0.0,1153
2024-02-20,15.09,15.91,15.07,15.42,0.0,0.0,1432
2024-02-21,15.54,16.12,15.22,15.34,0.0,0.0,1338
2024-02-22,14.28,14.64,14.12,14.54,0.0,0.0,1058
2024-02-23,14.31,14.31,13.64,13.75,0.0,0.0,912
2024-02-26,14.17,14.2,13.66,13.74,0.0,0.0,815
2024-02-27,13.63,13.75,13.41,13.43,0.0,0.0,960
2024-02-28,13.52,13.9,13.44,13.84,0.0,0.0,1158
2024-02-29,14.14,14.15,13.3,13.4,0.0,0.0,1237
