datetime,currency,title,impact,forecast,previous,actual
2020-03-01 16:30,AUD,AIG Manufacturing Index,Low,,45.4,44.3
2020-03-01 16:45,NZD,Overseas Trade Index q/q,Low,0.8%,1.7%,2.6%
2020-03-01 18:50,JPY,Capital Spending q/y,Low,-2.5%,7.1%,-3.5%
2020-03-01 19:00,AUD,MI Inflation Gauge m/m,Low,,0.3%,-0.1%
2020-03-01 19:30,AUD,Company Operating Profits q/q,Medium,-1.2%,-0.6%,-3.5%
2020-03-01 20:45,CNY,Caixin Manufacturing PMI,High,46.1,51.1,40.3
2020-03-02 00:00,AUD,ANZ Job Advertisements m/m,Low,,4.0%,0.7%
2020-03-02 00:00,GBP,M4 Money Supply m/m,Low,0.2%,0.1%,0.6%
2020-03-02 00:00,GBP,Mortgage Approvals,Low,68K,68K,71K
2020-03-02 00:00,JPY,Final Manufacturing PMI,Low,47.6,47.6,47.8
2020-03-02 00:00,USD,Construction Spending m/m,Low,0.6%,0.2%,1.8%
2020-03-02 00:00,USD,ISM Manufacturing Prices,Low,51.2,53.3,45.9
2020-03-02 00:30,AUD,Commodity Prices y/y,Low,,-2.6%,-6.1%
2020-03-02 03:15,EUR,Spanish Manufacturing PMI,Low,48.9,48.5,50.4
2020-03-02 03:30,CHF,Manufacturing PMI,Low,47.9,47.8,49.5
2020-03-02 03:45,EUR,Italian Manufacturing PMI,Low,48.0,48.9,48.7
2020-03-02 03:50,EUR,French Final Manufacturing PMI,Low,49.7,49.7,49.8
2020-03-02 03:55,EUR,German Final Manufacturing PMI,Low,47.8,47.8,48.0
2020-03-02 04:00,EUR,Final Manufacturing PMI,Low,49.1,49.1,49.2
2020-03-02 04:30,GBP,Final Manufacturing PMI,Medium,51.9,51.9,51.7
2020-03-02 04:32,GBP,Net Lending to Individuals m/m,Low,5.9B,5.7B,5.2B
2020-03-02 09:30,CAD,Manufacturing PMI,Low,,50.6,51.8
2020-03-02 09:45,USD,Final Manufacturing PMI,Low,50.8,50.8,50.7
2020-03-02 10:00,USD,ISM Manufacturing PMI,High,50.5,50.9,50.1
2020-03-02 18:50,JPY,Monetary Base y/y,Low,3.0%,2.9%,3.6%
2020-03-02 19:30,AUD,Building Approvals m/m,High,1.1%,3.9%,-15.3%
2020-03-02 22:30,AUD,Cash Rate,High,0.50%,0.75%,0.50%
2020-03-02 22:35,JPY,10-y Bond Auction,Low,,-0.05|3.6,-0.10|3.2
2020-03-03 00:00,AUD,Current Account,Medium,2.3B,6.5B,1.0B
2020-03-03 00:00,AUD,RBA Rate Statement,High,,,
2020-03-03 00:00,EUR,Core CPI Flash Estimate y/y,Low,1.2%,1.1%,1.2%
2020-03-03 00:00,EUR,PPI m/m,Low,0.5%,0.1%,0.4%
2020-03-03 00:00,EUR,Unemployment Rate,Low,7.4%,7.4%,7.4%
2020-03-03 00:00,GBP,Construction PMI,Low,49.0,48.4,52.6
2020-03-03 00:00,JPY,Consumer Confidence,Low,38.4,39.1,38.4
2020-03-03 00:00,USD,FOMC Statement,High,,,
2020-03-03 00:00,USD,RCM/TIPP Economic Optimism,Low,58.1,59.8,53.9
2020-03-03 01:45,CHF,GDP q/q,Low,0.2%,0.4%,0.3%
2020-03-03 02:45,EUR,French Gov Budget Balance,Low,,-92.8B,-20.0B
2020-03-03 03:00,EUR,Spanish Unemployment Change,Low,8.2K,90.2K,-7.8K
2020-03-03 04:00,EUR,Italian Monthly Unemployment Rate,Low,9.8%,9.8%,9.8%
2020-03-03 04:30,GBP,Monetary Policy Report Hearings,High,,,
2020-03-03 05:00,EUR,CPI Flash Estimate y/y,Medium,1.4%,1.4%,1.2%
2020-03-03 09:38,NZD,GDT Price Index,Low,,-2.9%,-1.2%
2020-03-03 10:00,USD,Federal Funds Rate,High,,1.75%,1.25%
2020-03-03 11:00,USD,FOMC Press Conference,High,,,
2020-03-03 14:50,USD,FOMC Member Mester Speaks,Low,,,
2020-03-03 15:29,All,G7 Meetings,High,,,
2020-03-03 15:29,USD,Wards Total Vehicle Sales,Low,16.8M,16.8M,16.8M
2020-03-03 16:30,AUD,AIG Construction Index,Low,,41.3,42.7
2020-03-03 16:45,NZD,Building Consents m/m,Low,,9.8%,-2.0%
2020-03-03 19:00,NZD,ANZ Commodity Prices m/m,Low,,-0.9%,-2.1%
2020-03-03 19:30,AUD,GDP q/q,High,0.4%,0.6%,0.5%
2020-03-03 20:45,CNY,Caixin Services PMI,Medium,48.0,51.8,26.5
2020-03-04 00:00,CAD,Overnight Rate,High,1.25%,1.75%,1.25%
2020-03-04 00:00,USD,ISM Services PMI,High,54.9,55.5,57.3
2020-03-04 02:00,EUR,German Retail Sales m/m,Low,1.0%,-2.0%,0.9%
2020-03-04 02:30,CHF,CPI m/m,Low,0.2%,-0.2%,0.1%
2020-03-04 03:15,EUR,Spanish Services PMI,Low,52.5,52.3,52.1
2020-03-04 03:45,EUR,Italian Services PMI,Low,51.4,51.4,52.1
2020-03-04 03:50,EUR,French Final Services PMI,Low,52.6,52.6,52.5
2020-03-04 03:55,EUR,German Final Services PMI,Low,53.3,53.3,52.5
2020-03-04 04:00,EUR,Final Services PMI,Low,52.8,52.8,52.6
2020-03-04 04:30,GBP,Final Services PMI,Medium,53.2,53.3,53.2
2020-03-04 05:00,EUR,Retail Sales m/m,Low,0.6%,-1.1%,0.6%
2020-03-04 08:15,USD,ADP Non-Farm Employment Change,High,170K,209K,183K
2020-03-04 08:30,CAD,Labor Productivity q/q,Low,0.2%,0.2%,-0.1%
2020-03-04 09:15,GBP,BOE Gov Bailey Speaks,High,,,
2020-03-04 09:45,USD,Final Services PMI,Low,49.4,49.4,49.4
2020-03-04 10:00,CAD,BOC Rate Statement,High,,,
2020-03-04 10:30,USD,Crude Oil Inventories,Medium,2.8M,0.5M,0.8M
2020-03-04 13:00,GBP,MPC Member Broadbent Speaks,Medium,,,
2020-03-04 14:00,USD,Beige Book,Low,,,
2020-03-04 15:29,All,OPEC-JMMC Meetings,Medium,,,
2020-03-04 19:30,AUD,Goods Trade Balance,High,4.80B,5.38B,5.21B
2020-03-04 22:35,JPY,30-y Bond Auction,Low,,0.43|3.7,0.34|3.6
2020-03-05 00:00,USD,Revised Unit Labor Costs q/q,Low,1.5%,1.4%,0.9%
2020-03-05 00:00,USD,Unemployment Claims,Low,215K,219K,216K
2020-03-05 04:48,EUR,Spanish 10-y Bond Auction,Low,,0.24|2.3,0.17|1.4
2020-03-05 05:01,EUR,French 10-y Bond Auction,Low,,-0.11|2.2,-0.32|2.2
