date,open,high,low,close,volume,average,barCount
2025-04-01 04:00:00,466.94,470.0,466.94,467.52,26605.0,468.293,61
2025-04-01 04:01:00,467.53,467.59,467.53,467.58,1244.0,467.549,9
2025-04-01 04:02:00,467.66,467.78,467.62,467.7,2930.0,467.742,15
2025-04-01 04:03:00,467.71,467.77,467.71,467.72,2430.0,467.741,18
2025-04-01 04:04:00,467.77,467.8,467.73,467.76,3163.0,467.775,19
2025-04-01 04:05:00,467.7,467.7,467.6,467.63,1300.0,467.622,13
2025-04-01 04:06:00,467.7,467.8,467.7,467.8,425.0,467.726,3
2025-04-01 04:07:00,467.85,467.96,467.85,467.94,509.0,467.903,5
2025-04-01 04:08:00,467.98,467.98,467.92,467.96,1930.0,467.955,5
2025-04-01 04:09:00,467.94,467.96,467.8,467.81,2226.0,467.874,15
2025-04-01 04:10:00,467.75,467.75,467.75,467.75,100.0,467.75,1
2025-04-01 04:11:00,467.87,467.92,467.76,467.76,603.0,467.817,6
2025-04-01 04:12:00,467.76,467.79,467.69,467.69,500.0,467.758,5
2025-04-01 04:13:00,467.69,467.69,467.69,467.69,0.0,467.69,0
2025-04-01 04:14:00,467.77,467.77,467.77,467.77,100.0,467.77,1
2025-04-01 04:15:00,467.94,467.94,467.94,467.94,100.0,467.94,1
2025-04-01 04:16:00,468.1,468.11,467.94,467.94,340.0,468.037,3
2025-04-01 04:17:00,467.9,467.9,467.81,467.81,800.0,467.861,8
2025-04-01 04:18:00,467.76,468.0,467.76,468.0,838.0,467.842,7
2025-04-01 04:19:00,468.13,468.35,468.13,468.35,900.0,468.211,9
2025-04-01 04:20:00,468.31,468.31,468.31,468.31,100.0,468.31,1
2025-04-01 04:21:00,468.4,468.43,468.4,468.41,2193.0,468.417,7
2025-04-01 04:22:00,468.45,468.49,468.45,468.47,400.0,468.475,4
2025-04-01 04:23:00,468.54,468.58,468.54,468.58,200.0,468.56,2
2025-04-01 04:24:00,468.55,468.55,468.54,468.54,311.0,468.547,3
2025-04-01 04:25:00,468.56,468.71,468.54,468.71,1356.0,468.612,10
2025-04-01 04:26:00,468.65,468.66,468.65,468.66,500.0,468.654,5
2025-04-01 04:27:00,468.75,468.76,468.75,468.76,316.0,468.753,3
2025-04-01 04:28:00,468.84,468.84,468.84,468.84,100.0,468.84,1
2025-04-01 04:29:00,468.98,469.08,468.92,468.97,1444.0,469.0,11
2025-04-01 04:30:00,468.85,468.85,468.7,468.7,812.0,468.759,8
2025-04-01 04:31:00,468.78,468.79,468.65,468.65,1100.0,468.747,11
2025-04-01 04:32:00,468.74,468.92,468.7,468.92,2961.0,468.896,15
2025-04-01 04:33:00,468.94,468.96,468.94,468.96,609.0,468.948,3
2025-04-01 04:34:00,468.92,468.92,468.9,468.9,880.0,468.918,6
2025-04-01 04:35:00,468.96,468.96,468.95,468.95,7068.0,468.96,15
2025-04-01 04:36:00,468.88,468.96,468.83,468.96,8550.0,468.926,36
2025-04-01 04:37:00,468.96,468.96,468.74,468.88,2719.0,468.865,20
2025-04-01 04:38:00,468.9,468.9,468.84,468.84,5146.0,468.86,9
2025-04-01 04:39:00,468.91,469.0,468.91,468.98,661.0,468.975,5
2025-04-01 04:40:00,468.88,469.0,468.88,469.0,950.0,468.943,8
2025-04-01 04:41:00,469.1,469.22,469.1,469.22,706.0,469.18,5
2025-04-01 04:42:00,469.24,469.36,469.24,469.35,2700.0,469.301,23
2025-04-01 04:43:00,469.36,469.36,469.36,469.36,100.0,469.36,1
2025-04-01 04:44:00,469.32,469.32,469.28,469.3,400.0,469.3,3
2025-04-01 04:45:00,469.26,469.28,469.18,469.18,811.0,469.212,5
2025-04-01 04:46:00,469.2,469.2,469.0,469.0,500.0,469.044,3
2025-04-01 04:47:00,469.0,469.03,468.96,469.03,960.0,469.02,7
2025-04-01 04:48:00,469.09,469.14,469.07,469.14,500.0,469.088,5
2025-04-01 04:49:00,469.0,469.0,469.0,469.0,100.0,469.0,1
2025-04-01 04:50:00,469.09,469.09,469.09,469.09,100.0,469.09,1
2025-04-01 04:51:00,469.2,469.2,469.2,469.2,259.0,469.2,2
2025-04-01 04:52:00,469.28,469.28,469.28,469.28,150.0,469.28,1
2025-04-01 04:53:00,469.28,469.28,469.28,469.28,0.0,469.28,0
2025-04-01 04:54:00,469.35,469.37,469.35,469.37,482.0,469.355,3
2025-04-01 04:55:00,469.34,469.39,469.31,469.31,700.0,469.366,7
2025-04-01 04:56:00,469.33,469.39,469.28,469.39,11396.0,469.378,21
2025-04-01 04:57:00,469.48,469.48,469.42,469.42,497.0,469.466,3
2025-04-01 04:58:00,469.43,469.48,469.36,469.48,1959.0,469.409,10
2025-04-01 04:59:00,469.46,469.46,469.36,469.36,1500.0,469.396,10
2025-04-01 05:00:00,469.5,469.52,469.5,469.51,892.0,469.507,3
2025-04-01 05:01:00,469.5,469.82,469.5,469.74,7511.0,469.67,37
2025-04-01 05:02:00,469.79,469.8,469.72,469.72,1300.0,469.765,12
2025-04-01 05:03:00,469.62,469.69,469.44,469.44,1326.0,469.625,11
2025-04-01 05:04:00,469.32,469.36,469.2,469.34,1050.0,469.271,10
2025-04-01 05:05:00,469.31,469.37,469.31,469.37,558.0,469.335,4
2025-04-01 05:06:00,469.4,469.4,469.4,469.4,500.0,469.4,2
2025-04-01 05:07:00,469.4,469.4,469.4,469.4,0.0,469.4,0
2025-04-01 05:08:00,469.53,469.59,469.53,469.59,3691.0,469.588,7
2025-04-01 05:09:00,469.42,469.45,469.36,469.44,1535.0,469.42,13
2025-04-01 05:10:00,469.44,469.44,469.44,469.44,0.0,469.44,0
2025-04-01 05:11:00,469.53,469.61,469.48,469.61,925.0,469.499,7
2025-04-01 05:12:00,469.38,469.41,469.38,469.41,605.0,469.385,2
2025-04-01 05:13:00,469.41,469.41,469.41,469.41,800.0,469.41,3
2025-04-01 05:14:00,469.3,469.3,469.25,469.25,706.0,469.288,3
2025-04-01 05:15:00,469.32,469.4,469.32,469.4,1600.0,469.384,11
2025-04-01 05:16:00,469.33,469.4,469.33,469.4,907.0,469.349,4
2025-04-01 05:17:00,469.4,469.5,469.4,469.5,400.0,469.463,2
2025-04-01 05:18:00,469.61,469.61,469.6,469.61,400.0,469.608,4
2025-04-01 05:19:00,469.73,469.77,469.73,469.76,900.0,469.753,7
2025-04-01 05:20:00,469.74,469.74,469.71,469.71,1100.0,469.72,7
2025-04-01 05:21:00,469.8,469.81,469.8,469.8,2312.0,469.808,7
2025-04-01 05:22:00,469.8,469.84,469.8,469.8,400.0,469.81,3
2025-04-01 05:23:00,469.8,469.8,469.8,469.8,0.0,469.8,0
2025-04-01 05:24:00,469.8,469.8,469.8,469.8,100.0,469.8,1
2025-04-01 05:25:00,469.82,469.84,469.58,469.58,791.0,469.72,7
2025-04-01 05:26:00,469.54,469.54,469.54,469.54,100.0,469.54,1
2025-04-01 05:27:00,469.67,469.68,469.67,469.67,300.0,469.673,3
2025-04-01 05:28:00,469.66,469.66,469.66,469.66,100.0,469.66,1
2025-04-01 05:29:00,469.68,469.68,469.68,469.68,143.0,469.68,1
2025-04-01 05:30:00,469.73,469.75,469.72,469.72,9699.0,469.744,26
2025-04-01 05:31:00,469.72,469.72,469.72,469.72,0.0,469.72,0
2025-04-01 05:32:00,469.9,470.0,469.9,470.0,877.0,469.977,6
2025-04-01 05:33:00,469.91,470.1,469.91,470.1,7955.0,469.916,16
2025-04-01 05:34:00,470.12,470.12,469.99,469.99,400.0,470.023,4
2025-04-01 05:35:00,470.04,470.06,470.04,470.06,535.0,470.049,3
2025-04-01 05:36:00,470.03,470.03,469.93,469.93,741.0,470.003,6
2025-04-01 05:37:00,469.95,469.96,469.95,469.96,400.0,469.953,4
2025-04-01 05:38:00,469.97,470.0,469.97,470.0,1407.0,469.996,4
2025-04-01 05:39:00,470.05,470.05,470.04,470.04,700.0,470.044,6
2025-04-01 05:40:00,470.16,470.29,470.16,470.28,911.0,470.232,8
2025-04-01 05:41:00,470.13,470.21,470.13,470.19,4040.0,470.17,16
2025-04-01 05:42:00,470.21,470.21,470.21,470.21,900.0,470.21,3
2025-04-01 05:43:00,470.16,470.16,470.12,470.12,500.0,470.14,5
2025-04-01 05:44:00,470.12,470.12,470.12,470.12,0.0,470.12,0
2025-04-01 05:45:00,470.24,470.24,470.24,470.24,100.0,470.24,1
2025-04-01 05:46:00,470.28,470.28,470.14,470.14,633.0,470.214,5
2025-04-01 05:47:00,470.27,470.27,470.27,470.27,100.0,470.27,1
2025-04-01 05:48:00,470.25,470.25,470.25,470.25,200.0,470.25,2
2025-04-01 05:49:00,470.29,470.29,470.27,470.27,500.0,470.278,5
2025-04-01 05:50:00,470.23,470.39,470.23,470.35,5931.0,470.345,17
