date,open,high,low,close,volume,average,barCount
2023-02-01,294.41,303.43,292.3,300.92,46716460.0,297.15,226694
2023-02-02,307.52,313.68,306.73,311.72,51687873.0,309.939,238477
2023-02-03,304.94,312.39,304.54,306.18,51883796.0,308.438,267075
2023-02-06,303.52,305.91,302.22,303.59,28202710.0,304.084,136843
2023-02-07,303.46,311.03,302.32,309.88,49455492.0,306.217,242783
2023-02-08,308.54,309.5,303.67,304.37,35127183.0,305.803,179362
2023-02-09,308.84,308.99,300.2,301.68,36653318.0,304.584,182884
2023-02-10,299.48,301.57,297.25,299.7,35601926.0,299.419,161115
2023-02-13,301.13,305.1,299.93,304.5,28383578.0,303.415,130721
2023-02-14,302.89,307.72,300.91,306.75,43952381.0,304.658,233159
2023-02-15,304.9,309.27,304.2,309.1,29767727.0,306.913,147124
2023-02-16,304.38,308.43,303.15,303.3,41053514.0,305.975,217736
2023-02-17,301.07,301.93,298.1,301.16,37375353.0,299.982,179620
2023-02-21,297.27,298.73,293.89,294.03,32714283.0,295.81,147530
2023-02-22,294.62,296.36,292.56,294.25,36281837.0,294.391,173887
2023-02-23,297.96,298.13,292.55,296.82,51224686.0,295.63,268715
2023-02-24,291.75,292.97,290.05,291.85,53791921.0,291.196,288651
2023-02-27,295.08,296.49,293.34,293.94,33210872.0,294.597,174821
2023-02-28,293.3,296.13,292.96,293.56,34908245.0,294.489,193748
