date,open,high,low,close,volume,average,barCount
2021-02-01,373.72,377.34,371.42,376.23,47588343.0,375.107,248765
2021-02-02,379.61,383.22,379.6,381.55,42827752.0,382.078,206927
2021-02-03,382.44,383.7,380.48,381.85,34289948.0,382.457,174054
2021-02-04,382.96,386.24,382.78,386.19,29267423.0,384.631,142756
2021-02-05,388.21,388.47,386.48,387.71,28382584.0,387.571,135821
2021-02-08,389.27,390.54,388.35,390.51,25345607.0,389.363,123711
2021-02-09,389.61,390.89,389.17,390.25,24643367.0,390.255,124628
2021-02-10,392.12,392.28,387.5,390.08,42369088.0,389.845,218221
2021-02-11,391.25,391.69,388.1,390.71,31107599.0,390.12,162280
2021-02-12,389.85,392.9,389.77,392.64,30107646.0,391.492,146479
2021-02-16,393.97,394.17,391.53,392.3,35393884.0,392.941,185017
2021-02-17,390.42,392.66,389.33,392.39,36562309.0,391.08,188846
2021-02-18,389.57,391.52,387.74,390.72,42476711.0,389.778,197388
2021-02-19,392.07,392.38,389.55,390.03,44128189.0,390.846,202673
2021-02-22,387.06,389.62,386.74,387.03,44153072.0,387.852,205685
2021-02-23,384.65,388.95,380.2,387.5,81935134.0,384.798,420884
2021-02-24,386.33,392.23,385.27,391.77,52999163.0,389.504,293962
2021-02-25,390.41,391.88,380.77,382.33,117869281.0,385.744,702447
2021-02-26,384.4,385.58,378.23,380.36,110605854.0,382.425,652973
