date,open,high,low,close,volume,average,barCount
2020-03-02,34.86,43.77,31.5,33.42,0.0,0.0,2873
2020-03-03,33.64,41.06,24.93,36.82,0.0,0.0,2807
2020-03-04,34.44,35.58,30.3,31.99,0.0,0.0,2801
2020-03-05,33.61,42.84,33.54,39.62,0.0,0.0,2771
2020-03-06,41.46,54.39,40.84,41.94,0.0,0.0,2841
2020-03-09,41.94,62.12,41.94,54.46,0.0,0.0,1412
2020-03-10,49.68,55.66,43.56,47.3,0.0,0.0,2778
2020-03-11,52.24,55.82,49.98,53.9,0.0,0.0,2831
2020-03-12,61.46,76.83,59.91,75.47,0.0,0.0,2290
2020-03-13,71.31,77.57,55.17,57.83,0.0,0.0,2298
2020-03-16,57.83,83.56,57.83,82.69,0.0,0.0,1381
2020-03-17,82.69,84.83,70.37,75.91,0.0,0.0,2456
2020-03-18,69.37,85.47,69.37,76.45,0.0,0.0,1333
2020-03-19,80.62,84.26,68.57,72.0,0.0,0.0,2905
2020-03-20,67.86,69.51,57.42,66.04,0.0,0.0,2815
2020-03-23,74.08,76.74,60.46,61.59,0.0,0.0,2753
2020-03-24,58.76,61.88,36.24,61.67,0.0,0.0,2121
2020-03-25,61.44,68.86,58.03,63.95,0.0,0.0,2624
2020-03-26,65.67,67.06,57.66,61.0,0.0,0.0,2766
2020-03-27,64.95,69.1,61.8,65.54,0.0,0.0,2792
2020-03-30,66.3,67.69,56.6,57.08,0.0,0.0,2780
2020-03-31,56.69,58.75,50.88,53.54,0.0,0.0,2710
